Name,Active substance,Amount of substance,Form,Prescription type
Mirtagen,Mirtazapinum 15 mg,15 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Mirtagen,Mirtazapinum 30 mg,30 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Mirtagen,Mirtazapinum 45 mg,45 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Nolpaza 20 mg tabletki dojelitowe,Pantoprazolum 20 mg,20 mg,Tabletki dojelitowe,Rp
Mycophenolate mofetil Sandoz 250 mg kapsułki twarde,Mycophenolas mofetil 250 mg,250 mg,Kapsułki twarde,Rp
Symtrend,Carvedilolum 25 mg,25 mg,Tabletki powlekane,Rp
Symtrend,Carvedilolum 12.5 mg,12.5 mg,Tabletki powlekane,Rp
Symtrend,Carvedilolum 6.25 mg,6.25 mg,Tabletki powlekane,Rp
Ecalta,Anidulafunginum 100 mg,100 mg,Proszek do sporządzania koncentratu roztworu do infuzji,Rp
Valsacor 80 mg tabletki powlekane,Valsartanum 80 mg,80 mg,Tabletki powlekane,Rp
Valsacor 160 mg tabletki powlekane,Valsartanum do 5 ml,160 mg,Tabletki powlekane,Rp
Nolpaza 40 mg tabletki dojelitowe,Pantoprazolum 40 mg,40 mg,Tabletki dojelitowe,Rp
Pravator,Pravastatinum natricum 20 mg,20 mg,Tabletki,Rp
Pravator,Pravastatinum natricum 40 mg,40 mg,Tabletki,Rp
Nifuroksazyd 200 Hasco,Nifuroxazidum 200 mg,200 mg,Tabletki powlekane,OTC
Toviaz,Fesoterodinum 4 mg,4 mg,Tabletki o przedłużonym uwalnianiu,Rp
Toviaz,Fesoterodinum 8 mg,8 mg,Tabletki o przedłużonym uwalnianiu,Rp
Avamys,Fluticasoni furoas 27.5 mcg,27.5 mcg/dawkę,Aerozol do nosa. zawiesina,Rp
Atorvasterol,Atorvastatinum 40 mg,40 mg,Tabletki powlekane,Rp
Kontracept,Ethinylestradiolum 0.02 mg + Gestodenum 0.075 mg,0.02 mg + 0.075 mg,Tabletka drażowana,Rp
Goprazol 20 mg,Omeprazolum 20 mg,20 mg,Kapsułki dojelitowe. twarde,Rp
Sumatriptan Medical Valley,Sumatriptanum 50 mg,50 mg,Tabletki,Rp
Polprazol PPH,Omeprazolum 40 mg,40 mg,Kapsułki dojelitowe. twarde,Rp
Sumatriptan Medical Valley,Sumatriptanum 100 mg,100 mg,Tabletki,Rp
Atorvasterol,Atorvastatinum 10 mg,10 mg,Tabletki powlekane,Rp
Atorvasterol,Atorvastatinum 20 mg,20 mg,Tabletki powlekane,Rp
Atractin,Atorvastatinum calcicum 10.36 mg,10 mg,Tabletki powlekane,Rp
Atractin,Atorvastatinum calcicum 20.72 mg,20 mg,Tabletki powlekane,Rp
Atractin,Atorvastatinum calcicum 41.44 mg,40 mg,Tabletki powlekane,Rp
Larus,Atorvastatinum 20 mg,20 mg,Tabletki powlekane,Rp
Formetic,Metformini hydrochloridum 500 mg,500 mg,Tabletki powlekane,Rp
Formetic,Metformini hydrochloridum 1000 mg,1000 mg,Tabletki powlekane,Rp
Formetic,Metformini hydrochloridum 850 mg,850 mg,Tabletki powlekane,Rp
Fitolizyna,Alium Cepa sqama 5 cz. + Betulae folium 10 cz. + Levistici radix 10 cz. + Solidaginis virgaurea herba (1:1.5-2.5) ekstrahent - etanol 60% (v/v) 5 cz. + Polygoni avicularis herba 15 cz. + Petroselini radix 17.5 cz. + Agropyri rhizoma 12.5 cz. + Foenugraeci semen 15 cz.,-,Pasta doustna,OTC
Refastin,Ketoprofenum 100 mg,100 mg,Tabletki powlekane,Rp
Flexbumin 200 g/l,Albuminum humanum 200 g/l,200 g/l,Roztwór do infuzji,Rp
Azyter,Azithromycinum 3.75 mg/0.25 g,15 mg/g,Krople do oczu. roztwór,Rp
Rimantin,Rimantadini hydrochloridum 50 mg,50 mg,Tabletki,Rp
Ibuprofen Aflofarm,Ibuprofenum 200 mg,200 mg,Tabletki drażowane,OTC
Nurofen dla dzieci o smaku truskawkowym,Ibuprofenum 100 mg/ 5 ml,100 mg/5 ml,Zawiesina doustna,OTC
Telfexo 120 mg,Fexofenadini hydrochloridum 120 mg,120 mg,Tabletki powlekane,Rp
Telfexo 180 mg,Fexofenadini hydrochloridum 180 mg,180 mg,Tabletki powlekane,Rp
Fexofast 120 mg,Fexofenadini hydrochloridum 120 mg,120 mg,Tabletki powlekane,Rp
Fexofast 180 mg,Fexofenadini hydrochloridum 180 mg,180 mg,Tabletki powlekane,Rp
Anastrozol Teva,Anastrozolum 1 mg,1 mg,Tabletki powlekane,Rp
Egistrozol,Anastrozolum 1 mg,1 mg,Tabletki powlekane,Rp
Finaran,Finasteridum 5 mg,5 mg,Tabletki powlekane,Rp
Risendros 35,Natrii risedronas 35 mg,35 mg,Tabletki powlekane,Rp
IPP 40,Pantoprazolum 40 mg,40 mg,Tabletki dojelitowe,Rp
Eucreas,Vildagliptinum 50 mg + Metformini hydrochloridum 850 mg,50 mg + 850 mg,Tabletki powlekane,Rp
Eucreas,Vildagliptinum 50 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki powlekane,Rp
Boostrix Polio,Toksoid błoniczy > lub równo 2 j.m. (2.5 Lf) + glinu fosforan 0.2 mg Al 3+ + Wirus poliomyelitis typ 2. inaktywowany 8 jednostek antygenu D + Wirus poliomyelitis typ 3. inaktywowany 32 jednostki antygenu D + Toksoid tężcowy > lub równo 20 j.m. (5 Lf) + Glinu wodorotlenek uwodniony 0.3 mg Al 3+ + Antygeny Bordetella pertussis (toksoid krztuścowy. hemaglutynina włókienkowa. pertaktyna) 8 mcg + 8 mcg + 2.5 mcg + Wirus poliomyelitis typ 1. inaktywowany 40 jednostek antygenu D,0.5 ml (1 dawka),Zawiesina do wstrzykiwań w ampułko-strzykawce,Rp
Etruzil,Letrozolum 2.5 mg,2.5 mg,Tabletki powlekane,Rp
Priorix-Tetra,Szczepionka przeciw odrze. śwince. różyczce. i ospie wietrznej. żywa patrz: skład produktu leczniczego,-,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań w ampułko-strzykawce,Rp
Priorix-Tetra,Szczepionka przeciw odrze. śwince. różyczce. i ospie wietrznej. żywa patrz: skład produktu leczniczego,-,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań,Rp
Rupafin 10 mg,Rupatadinum 10 mg,10 mg,Tabletki,Rp
Lexotan,Bromazepamum 3 mg,3 mg,Tabletki,Rp
Lavistina,Betahistini dihydrochloridum 8 mg,8 mg,Tabletki,Rp
IPP 20,Pantoprazolum 20 mg,20 mg,Tabletki dojelitowe,Rp
Glicerol 85% Laboratorium Galenowe Olsztyn,Glycerolum,,Płyn do stosowania na skórę,OTC
Lexapro,Escitalopramum 10 mg,10 mg,Tabletki powlekane,Rp
Glitoprel,Glimepiridum 1 mg,1 mg,Tabletki,Rp
Glitoprel,Glimepiridum 2 mg,2 mg,Tabletki,Rp
Glitoprel,Glimepiridum 3 mg,3 mg,Tabletki,Rp
Glitoprel,Glimepiridum 4 mg,4 mg,Tabletki,Rp
Rhophylac 300,Immunoglobulinum humanum anti-D 300 mcg (1500IU)/2 ml,300 mcg/2 ml (1500 IU),Roztwór do wstrzykiwań,Rp
Plantagis,Plantaginis lanceolatae folii extractum (1:7) 35 g,2.17 g/5 ml,Syrop,OTC
Calperos 500,Calcii carbonas praecipitatus 500 mg,200 mg Ca2+,Kapsułki twarde,OTC
Nifuroksazyd Hasco,Nifuroxazidum 100 mg,100 mg,Tabletki powlekane,OTC
Lexotan,Bromazepamum 6 mg,6 mg,Tabletki,Rp
Yaz,Ethinylestradiolum 0.02 mg + Drospirenonum 3 mg,0.02 mg + 3 mg,Tabletki powlekane,Rp
Spitaderm,Alkohol izopropylowy 70 g/100 g + Chlorhexidini digluconas 0.5 g/100 g + Hydrogenii peroxidum 1.5 g/100 g,(70 g + 0.5 g + 1.5 g)/100 g,Roztwór na skórę,OTC
Polkepral,Levetiracetamum 250 mg,250 mg,Tabletki powlekane,Rp
Polvertic,Betahistini dihydrochloridum 8 mg,8 mg,Tabletki,Rp
Crestor,Rosuvastatinum calicum 20.8 mg,20 mg,Tabletki powlekane,Rp
Polhumin R,Insulinum humanum 100 j.m/1 ml,100 j.m./ml,Roztwór do wstrzykiwań,Rp
Gastrovit MultiActive,Extractum compositum fluidum (0.67:1) ex Extractum compositum fluidum (0.67:1) ex Artemisiae abrotani herba. Silybi mariani fructu. Menthae piperitae folio.Cnici benedicti herba. Taraxaci radice. Millefolii herba + Menthae piperitae folium 8 cz. + Silybi mariani fructus 15 cz. + Millefolii herba 3 cz. + Taraxaci radix 3 cz. + Cnici benedicti herba 3 cz. + Artemisiae abrotani herba 35 cz.,-,Płyn doustny,OTC
Polkepral,Levetiracetamum 500 mg,500 mg,Tabletki powlekane,Rp
Ladybon,Tibolonum 2.5 mg,2.5 mg,Tabletki,Rp
Polvertic,Betahistini dihydrochloridum 16 mg,16 mg,Tabletki,Rp
Crestor,Rosuvastatinum calicum 10.4 mg,10 mg,Tabletki powlekane,Rp
Crestor,Rosuvastatinum calicum 41.6 mg,40 mg,Tabletki powlekane,Rp
Celebrex,Celecoxibum 200 mg,200 mg,Kapsułki,Rp
Lekoklar mite,Clarithromycinum 250 mg,250 mg,Tabletki powlekane,Rp
Polkepral,Levetiracetamum 750 mg,750 mg,Tabletki powlekane,Rp
Trileptal,Oxcarbazepinum 60 mg,60 mg/ml,Zawiesina doustna,Rp
Finaride,Finasteridum 5 mg,5 mg,Tabletki powlekane,Rp
Albothyl,Policresulenum 90 mg,90 mg,Globulki,OTC
Eligard 45 mg,Leuprorelini acetas 45 mg,45 mg,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań,Rp
Coronal 5,Bisoprololi fumaras 5 mg,5 mg,Tabletki powlekane,Rp
Losec,Omeprazolum 20 mg,20 mg,Kapsułki dojelitowe. twarde,Rp
Ranopril,Lisinoprilum dihydricum 10.888 mg,10 mg,Tabletki,Rp
Cusimolol 0.5%,Timololi maleas 6.83 mg,5 mg/ml,Krople do oczu. roztwór,Rp
AzitroLEK,Azithromycinum dihydricum 104.8 mg/5 ml,100 mg/5 ml,Proszek do sporządzania zawiesiny doustnej,Rp
AzitroLEK,Azithromycinum dihydricum 209.6 mg/5 ml,200 mg/5 ml,Proszek do sporządzania zawiesiny doustnej,Rp
Progastim,Omeprazolum 20 mg,20 mg,Kapsułki dojelitowe,Rp
Urofort,Urticae herba 20 cz. + Uvae ursi folium 45 cz. + Solidaginis virgaurea herba (1:1.5-2.5) ekstrahent - etanol 60% (v/v) 35 cz. + Extractum compositum fluidum (1:1) ex: -,-,Płyn doustny,OTC
Diabetofort,Phaseoli pericarpium 30 cz. + Betulae folium 20 cz. + Agropyri rhizoma 20 cz. + Rubi fruticosi folium 20 cz. + Rosae fructus 10 cz. + Etanol 70% (V/V),-,Płyn doustny,OTC
Furosemide Kabi,Furosemidum 20 mg/ 2 ml,20 mg/2 ml,Roztwór do wstrzykiwań,Rp
Nebispes,Nebivololum 5 mg,5 mg,Tabletki,Rp
Axyven,Venlafaxini hydrochloridum 37.5 mg,37.5 mg,Tabletki o przedłużonym uwalnianiu,Rp
Axyven,Venlafaxini hydrochloridum 75 mg,75 mg,Tabletki o przedłużonym uwalnianiu,Rp
Axyven,Venlafaxini hydrochloridum 150 mg,150 mg,Tabletki o przedłużonym uwalnianiu,Rp
Olanzin,Olanzapinum 5 mg,5 mg,Tabletki powlekane,Rp
Olanzin,Olanzapinum 10 mg,10 mg,Tabletki powlekane,Rp
Olanzapin Krka,Olanzapinum 5 mg,5 mg,Tabletki,Rp
Olanzapin Krka,Olanzapinum 10 mg,10 mg,Tabletki,Rp
Hydroxyzinum Aflofarm,Hydroxyzini hydrochloridum 100 mg,100 mg,Syrop,Rp
Olanzapin Krka,Olanzapinum 15 mg,15 mg,Tabletki,Rp
Olanzapin Krka,Olanzapinum 20 mg,20 mg,Tabletki,Rp
Olanzapin Krka,Olanzapinum 5 mg,5 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Olanzapin Krka,Olanzapinum 7.5 mg,7.5 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Biotropil 1200,Piracetamum 1200 mg,1200 mg,Tabletki powlekane,Rp
Olanzapin Krka,Olanzapinum 10 mg,10 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Olanzapin Krka,Olanzapinum 15 mg,15 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Olanzapin Krka,Olanzapinum 20 mg,20 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Biotropil 800,Piracetamum 800 mg,800 mg,Tabletki powlekane,Rp
Arnigel,Arnica montana 7 g,-,Żel,OTC
Olanzapine Teva,Olanzapinum 2.5 mg,2.5 mg,Tabletki powlekane,Rp
Olanzapine Teva,Olanzapinum 5 mg,5 mg,Tabletki powlekane,Rp
Olanzapine Teva,Olanzapinum 7.5 mg,7.5 mg,Tabletki powlekane,Rp
Olanzapine Teva,Olanzapinum 10 mg,10 mg,Tabletki powlekane,Rp
Olanzapine Teva,Olanzapinum 15 mg,15 mg,Tabletki powlekane,Rp
Lorista,Losartanum kalicum 25 mg,25 mg,Tabletki powlekane,Rp
Olanzapine Teva,Olanzapinum 20 mg,20 mg,Tabletki powlekane,Rp
Olanzapine Teva,Olanzapinum 5 mg,5 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Olanzapine Teva,Olanzapinum 10 mg,10 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Lorista,Losartanum kalicum 100 mg,100 mg,Tabletki powlekane,Rp
Olanzapine Teva,Olanzapinum 15 mg,15 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Olanzapine Teva,Olanzapinum 20 mg,20 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Biotebal,Biotinum 5 mg,5 mg,Tabletki,OTC
Camilia,Rheum 5CH + Chamomilla vulgaris 9CH 333.3 mg + Phytolacca decandra 5CH 333.3 mg,-,Roztwór doustny,OTC
Nalpain 10 mg/ml,Nalbuphini hydrochloridum 10 mg/ml,10 mg/ml,Roztwór do wstrzykiwań,Rpw
Flexove tabletki 625 mg,Glucosaminum 625 mg,625 mg,Tabletki,Rp
Nurofen Express,Ibuprofenum 200 mg,200 mg,Tabletki powlekane,OTC
Flavamed,Ambroxoli hydrochloridum 30 mg,30 mg,Tabletki,OTC
Ceftriaxon Kabi 1 g,Ceftriaxonum 1 g,1 g,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Loratan pro,Loratadinum 10 mg,10 mg,Kapsułki miękkie,OTC
Olanzapine +pharma,Olanzapinum 5 mg,5 mg,Tabletki,Rp
Ranofren,Olanzapinum 5 mg,5 mg,Tabletki,Rp
Olanzapine +pharma,Olanzapinum 10 mg,10 mg,Tabletki,Rp
Ranofren,Olanzapinum 10 mg,10 mg,Tabletki,Rp
Nebicard,Nebivololum 5 mg,5 mg,Tabletki,Rp
Nebivor,Nebivololum 5 mg,5 mg,Tabletki,Rp
Dozox,Doxazosinum 4 mg,4 mg,Tabletki,Rp
Co-Prenessa 4 mg/1.25 mg tabletki,tert-Butylamini perindoprilum 4 mg + Indapamidum 1.25 mg,4 mg + 1.25 mg,Tabletki,Rp
Pradaxa,Dabigatranum etexilatum 75 mg,75 mg,Kapsułki twarde,Rp
Pradaxa,Dabigatranum etexilatum 110 mg,110 mg,Kapsułki twarde,Rp
Polprazol Max,Omeprazolum 20 mg,20 mg,Kapsułki dojelitowe. twarde,OTC
Ephedrinum hydrochloricum WZF,Ephedrini hydrochloridum 25 mg,25 mg/ml,Roztwór do wstrzykiwań,Rp
Voltaren,Diclofenacum natricum 50 mg,50 mg,Tabletki dojelitowe,Rp
TyT - Szczepionka durowo-tężcowa,Inaktywowane pałeczki Salmonella thypi nie mniej niż 5 x 10^8 i nie więcej niż 1 x 10^9 + Toksoid tężcowy nie mniej niż 20 j.m.,szczepionka 20-dawkowa. 1 dawka = 0.5 ml,Zawiesina do wstrzykiwań,Rp
ApoBetina,Betahistini dihydrochloridum 16 mg,16 mg,Tabletki,Rp
ApoBetina,Betahistini dihydrochloridum 8 mg,8 mg,Tabletki,Rp
Vistabel,Toxinum botulinicum typum A ad iniectabile 50 jednostek Allergan/fiolka,4 j. Allergan/0.1 ml,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Fludeoksyglukoza Euro-PET,Fludeoxyglucosum  (18F) 300-3100 MBq/ml,300-3100 MBq/ml,Roztwór do wstrzykiwań,Rp
Mirzaten Q-Tab,Mirtazapinum 15 mg,15 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Mirzaten Q-Tab,Mirtazapinum 30 mg,30 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Mirzaten Q-Tab,Mirtazapinum 45 mg,45 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Adipine,Amlodipini besilas 13.88 mg,10 mg,Tabletki,Rp
Adipine,Amlodipini besilas 6.94 mg,5 mg,Tabletki,Rp
Sirdalud MR,Tizanidinum 6 mg,6 mg,Kapsułki o zmodyfikowanym uwalnianiu. twarde,Rp
Epiduo,Adapalenum 1 mg + Benzoylis peroxidum 25 mg,0.1% + 2.5%,Żel,Rp
Nedal,Nebivololum 5 mg,5 mg,Tabletki,Rp
Co-Prenessa 2 mg/0.625 mg tabletki,tert-Butylamini perindoprilum 2 mg + Indapamidum 0.625 mg,2 mg + 0.625 mg,Tabletki,Rp
Nitresan 10 mg,Nitrendipinum 10 mg,10 mg,Tabletki,Rp
Circadin,Melatoninum 2 mg,2 mg,Tabletki o przedłużonym uwalnianiu,Rp
Immunine 600 IU,Factor IX coagulationis humanus 600 j.m.,600 j.m.,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań lub infuzji,Rp
Depo-Medrol,Methylprednisoloni acetas 40 mg,40 mg/ml,Zawiesina do wstrzykiwań,Rp
Fenactil,Chlorpromazini hydrochloridum 5 mg,5 mg/ml,Roztwór do wstrzykiwań,Rp
Kaletra,Lopinavirum 100 mg + Ritonavirum 25 mg,100 mg + 25 mg,Tabletki powlekane,Rp
Encepur Adults,Wirus kleszczowego zapalenia mózgu. szczep K23. inaktywowany 1.5 mcg,1.5 mcg inaktywowanego wirusa kleszczowego zapalenia mózgu. szczep K23/0.5 ml; 1 dawka (0.5 ml). dawka dla dorosłych,Zawiesina do wstrzykiwań,Rp
Pentaxim,Wirus poliomyelitis typ 3. inaktywowany 32 jednostek antygenu D + Polisacharyd Haemophilus influenzae typ b skoniugowany z toksoidem tężcowym (18-30 mcg) 10 mcg + Toksoid tężcowy nie mniej niż 40 j.m. + Wirus poliomyelitis typ 2. inaktywowany 8 jednostek antygenu D + Wirus poliomyelitis typ 1. inaktywowany 40 jednostek antygenu D + Toksoid błoniczy nie mniej niż 30 j.m. + Antygeny Bordetella pertussis:Toksoid. Hemaglutynina włókienkowa. 25 mcg + 25 mcg,32 jednostek antygenu D + 10 mcg + nie mniej niż 40 j.m. + 8 jednostek antygenu D + 40 jednostek antygenu D + nie mniej niż 30 j.m. + 25 mcg + 25 mcg,Proszek i zawiesina do sporządzania zawiesiny do wstrzykiwań,Rp
Aethoxysklerol 3%,Lauromacrogolum 400 60.00 mg/ 2 ml,30 mg/ml,Roztwór do wstrzykiwań,Rp
Niquitin,Nicotini resinas 10 mg,2 mg,Pastylki do ssania,OTC
Plavix,Clopidogrelum 300 mg,300 mg,Tabletki powlekane,Rp
Rozalin,Dorzolamidum 20 mg,20 mg/ml,Krople do oczu. roztwór,Rp
Xeomin,Toxinum botulinicum typum A ad iniectabile 100 jedn. LD50,100 j. neurotoksyny Clostridium botulinum typu A (150 kD)/ fiolkę,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Requip,Ropiniroli hydrochloridum 0.25 mg,0.25 mg,Tabletki powlekane,Rp
Requip,Ropiniroli hydrochloridum 1 mg,1 mg,Tabletki powlekane,Rp
Gammagard S/D,Immunoglobulin human,,Proszek i rozpuszczalnik do sporządzania roztworu do infuzji,Rp
Altabactin,Bacitracinum 250 IU/g + Neomycinum 5 mg,(250 IU + 5000 IU)/g,Maść,OTC
Bocheńska lecznicza sól jodowo-bromowa,Sól lecznicza,,Proszek krystaliczny,OTC
Requip-Modutab,Ropiniroli hydrochloridum 4 mg,4 mg,Tabletki o przedłużonym uwalnianiu,Rp
Requip-Modutab,Ropiniroli hydrochloridum 8 mg,8 mg,Tabletki o przedłużonym uwalnianiu,Rp
Requip-Modutab,Ropiniroli hydrochloridum 2 mg,2 mg,Tabletki o przedłużonym uwalnianiu,Rp
PritorPlus,Telmisartanum 80 mg + Hydrochlorothiazidum 25 mg,80 mg + 25 mg,Tabletki,Rp
Levetiracetam Accord,Levetiracetamum 250 mg,250 mg,Tabletki powlekane,Rp
Orofar Max,Cetylpyridinii chloridum 2 mg + Lidocaini hydrochloridum 1 mg,2 mg + 1 mg,Pastylki twarde,OTC
Ibumax Forte 600 mg,Ibuprofenum 600 mg,600 mg,Tabletki powlekane,OTC
Glimbax,Diclofenacum 0.074 g,0.74 mg/ml (0.074%),Roztwór do płukania jamy ustnej i gardła,OTC
Xanax,Alprazolamum 1 mg,1 mg,Tabletki,Rp
Divina,Medroxyprogesteroni acetas 10 mg + Estradioli valeras 2 mg,2 mg (białe); 2 mg + 10 mg (niebieskie),Tabletki,Rp
Lacidofil,Lacticaseibacillus rhamnosus R0011 10^9 CFU + Lactobacillus helveticus R0052 10^9 CFU,2 x 10^9 CFU,Kapsułki twarde,OTC
Clemastinum WZF,Clemastini fumaras 0.134 mg/ml,1 mg/10 ml,Syrop,Rp
Flixonase Nasule,Fluticasoni propionas 400 mcg,400 mcg/dawkę donosową,Krople do nosa. zawiesina,Rp
Histigen,Betahistini dihydrochloridum 24 mg,24 mg,Tabletki,Rp
Rhesonativ,Immunoglobulinum humanum anti-D 625 IU/ml (125 mcg),625 IU/ml (125 mcg),Roztwór do wstrzykiwań,Rp
Flumazenil B.Braun 0.1 mg/ml roztwór do wstrzykiwań,Flumazenilum -,0.1 mg/ml,Roztwór do wstrzykiwań. koncentrat do sporządzania roztworu do infuzji,Rp
Lavistina,Betahistini dihydrochloridum 24 mg,24 mg,Tabletki,Rp
Zelefion,Terbinafinum 250 mg,250 mg,Tabletki,Rp
Noacid,Pantoprazolum 20 mg,20 mg,Tabletki dojelitowe,Rp
Lorista HD,Losartanum kalicum 100 mg + Hydrochlorothiazidum 25 mg,100 mg + 25 mg,Tabletki powlekane,Rp
Noacid,Pantoprazolum 40 mg,40 mg,Tabletki dojelitowe,Rp
Ibumax 200 mg,Ibuprofenum 200 mg,200 mg,Tabletki powlekane,OTC
Ibumax 400 mg,Ibuprofenum 400 mg,400 mg,Tabletki powlekane,OTC
Polvertic,Betahistini dihydrochloridum 24 mg,24 mg,Tabletki,Rp
Tafen Nasal,Budesonidum 1 mg,50 mcg/dawkę donosową,Aerozol do nosa. zawiesina,Rp
Levoxa,Levofloxacinum 250 mg,250 mg,Tabletki powlekane,Rp
Levoxa,Levofloxacinum 500 mg,500 mg,Tabletki powlekane,Rp
Asparaginian lek,Magnesii hydrogenoaspartas 250 mg + Kalii hydrogenoaspartas 250 mg,17 mg jonów magnezu + 54 mg jonów potasu,Tabletki,OTC
Madopar,Levodopum 200 mg + Benserazidi hydrochloridum 50 mg,200 mg + 50 mg,Kapsułki,Rp
Daktarin-oral,Miconazolum 20 mg/g,20 mg/g,Żel do stosowania w jamie ustnej,Rp
Ubistesin,Articaini hydrochloridum 40 mg + Epinephrinum 0.05 mg,(40 mg + 6 mcg)/ml,Roztwór do wstrzykiwań,Rp
Hydrochlorothiazidum Polpharma,Hydrochlorothiazidum 25 mg,25 mg,Tabletki,Rp
Betaserc,Betahistinum 5.21 mg,8 mg,Tabletki,Rp
Pyrazinamid Farmapol,Pyrazinamidum 500 mg,500 mg,Tabletki,Rp
Humulin M3 (30/70),Insulinum humanum 100 j.m./1 ml,100 j.m./ml,Zawiesina do wstrzykiwań,Rp
Zolaxa,Olanzapinum 5 mg,5 mg,Tabletki powlekane,Rp
Climara-50,Estradiolum 3.8 mg,50 mcg/24 h (3.8 mg),System transdermalny,Rp
Infanrix - IPV + Hib,Toksoid błoniczy - + Toksoid tężcowy - + Antygeny Bordetella pertussis (toksoid krztuścowy. hemaglutynina włókienkowa. pertaktyna) - + Poliowirus (inaktywowany): typ 1 (szczep Mahoney). typ 2 (szczep MEF-1). typ 3 (szczep Saukett) - + Polisacharyd haemophilus typ b (fosforan polirybozorybitolu) zawiązany z toksoidem tężcowym jako nośnikiem białkowym -,1 dawka (0.5 ml),Proszek i zawiesina do sporządzania zawiesiny do wstrzykiwań,Rp
Fromilid,Clarithromycinum 125 mg/ 5 ml,125 mg/5 ml,Granulat do sporządzania zawiesiny doustnej,Rp
Amoksiklav Quicktab 625 mg,Amoxicillinum 500 mg + Kalii clavulonas 125 mg,500 mg + 125 mg,Tabletki do sporządzania zawiesiny doustnej,Rp
Lakcid Intima,Pałeczki Lactobacillus gasseri DSM 14869 nie mniej niż 10^8 CFU + Pałeczki Lactobacillus rhamnosus DSM 14870 nie mniej niż 10^8 CFU,nie mniej niż 10^8 CFU + nie mniej niż 10^8 CFU,Kapsułki dopochwowe. twarde,OTC
Clindamycin Kabi,Clindamycini phosphas 356.46 mg/2 ml,150 mg/ml,Roztwór do wstrzykiwań / koncentrat do sporządzania roztworu do infuzji,Rp
Gliclada,Gliclazidum 30 mg,30 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Uroflow 1,Tolterodini hydrogenotartras 1 mg,1 mg,Tabletki powlekane,Rp
Vertix,Betahistini dihydrochloridum 24 mg,24 mg,Tabletki,Rp
Uroflow 2,Tolterodini hydrogenotartras 2 mg,2 mg,Tabletki powlekane,Rp
Nebinad,Nebivololi hydrochloridum 5.45 mg,5 mg,Tabletki,Rp
Levofolic 50 mg/ml roztwór do wstrzykiwań lub infuzji,Acidum levofolinicum 50 mg/ml,50 mg/ml,Roztwór do wstrzykiwań lub infuzji,Rp
Staloral,Mieszanki wyciągów alergenowych,zestaw do leczenia podstawowego: stężenie 10 IR/ml lub 10 IC/ml. stężenie 100 IR/ml lub 100 IC/ml; zestaw do leczenia podtrzymującego: stężenie 100 IR/ml lub 100 IC/ml ,Roztwór do stosowania doustnego i podjęzykowego,Rp
Flixotide,Fluticasoni propionas 0.5 mg,0.5 mg/2 ml,Zawiesina do nebulizacji,Rp
Intractum Melissae Phytopharm,Melissae herbae recentis intractum (1:1) -,4.575 g/5 ml,Płyn doustny,OTC
Ibuprom Zatoki,Ibuprofenum 200 mg + Pseudoephedrini hydrochloridum 30 mg,200 mg + 30 mg,Tabletki powlekane,OTC
Claritine Active,Loratadinum 5 mg + Pseudoephedrini sulfas 120 mg,5 mg + 120 mg,Tabletki o przedłużonym uwalnianiu,OTC
Devikap,Cholecalciferolum 15000 j.m./ml,15 000 IU/ml,Krople doustne. roztwór,Rp
Leukeran,Chlorambucilum 2 mg,2 mg,Tabletki powlekane,Rp
Bronchisan fix,Althaeae radix 50 g + Plantaginis lanceolatae folium 25 g + Tiliae flos 25 g,(1500 mg + 750 mg + 750 mg)/3 g,Zioła do zaparzania w saszetkach,OTC
Daktarin,Miconazoli nitras 2 g,20 mg/g,Puder leczniczy do rozpylania na skórę,OTC
MicardisPlus,Hydrochlorothiazidum 25 mg + Telmisartanum 80 mg,25 mg + 80 mg,Tabletki,Rp
Simcovas,Simvastatinum 20 mg,20 mg,Tabletki powlekane,Rp
Hydroxyzinum Espefa,Hydroxyzini hydrochloridum 0.2 g,10 mg/5 ml,Syrop,Rp
